data,meta_data
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c171a909aa001b176a99', 'links': {'targetURL': '/expose/6107c171a909aa001b176a99'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '46 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1713e34a9001d4d1cd5', 'links': {'targetURL': '/expose/6107c1713e34a9001d4d1cd5'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '50 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c171a909aa001b176a95', 'links': {'targetURL': '/expose/6107c171a909aa001b176a95'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '50 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c171a909aa001b176a91', 'links': {'targetURL': '/expose/6107c171a909aa001b176a91'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '44 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Balkon', 'value': 'BALCONY'}, {'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c172a909aa001b176aa2', 'links': {'targetURL': '/expose/6107c172a909aa001b176aa2'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '43 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1723e34a9001d4d1cdb', 'links': {'targetURL': '/expose/6107c1723e34a9001d4d1cdb'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '44 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1723e34a9001d4d1ce9', 'links': {'targetURL': '/expose/6107c1723e34a9001d4d1ce9'}, 'priceKeyFacts': [{'value': '750 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '49 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107cfd2a909aa001b177ede', 'links': {'targetURL': '/expose/6107cfd2a909aa001b177ede'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '47 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '6107c1723e34a9001d4d1ce5', 'links': {'targetURL': '/expose/6107c1723e34a9001d4d1ce5'}, 'priceKeyFacts': [{'value': '849 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '48 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
"{'badges': [{'label': 'Terrasse', 'value': 'TERRACE'}], 'exposeId': '62e7a2a839d28782c722caf1', 'links': {'targetURL': '/expose/62e7a2a839d28782c722caf1'}, 'priceKeyFacts': [{'value': '749 €', 'label': None}], 'mainKeyFacts': [{'value': '2', 'label': 'Zimmer'}, {'value': '47 m²', 'label': 'Fläche'}]}","{'full_address': '1210 Wien', 'description': 'PROVISIONSFREIER ERSTBEZUG IN DER KOLONIESTRASSE', 'devproject_link': 'http://www.immobilienscout24.at/expose/610a44fe232f73001ee08601', 'contact': 'Vivienne Spicak', 'company': 'IMV Makler GmbH', 'download_timeout': 180.0, 'download_slot': 'www.immobilienscout24.at', 'download_latency': 0.2516191005706787, 'depth': 0}"
