full_address,description,rooms,area,price,labels,property_link,contact,company
"Wehlistraße 330, 1020 Wien","AB SOFORT! Co- Working Space, Sauna, Gym- you can have it all. Donaumarina.",1 – 2,"40,36 – 52,52 m²","from 921,94 €","DEVELOPER_LISTING,BALCONY,TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/625fd7bfa0b787029b7adc9d,Donaumarina Vertriebsteam,BAI Bauträger Austria Immobilien GmbH
"Lavaterstraße 2-4, 1220 Wien",LAVATER 2 - Provisionsfreier Erstbezug im 22. Bezirk,2 – 2,"43,6 – 44,38 m²",from 790 €,"DEVELOPER_LISTING,BALCONY,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/61309f9dd4d5a70021555039,Daniel Madile,J+P Immobilienmakler GmbH
"Pogrelzstraße 83, 1220 Wien",Moderner Erstbezug in bester Lage in der schönen Donaustadt,2 – 4,"40,1 – 95,99 m²","from 695,97 €","DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62b1e5cac50f41214769e220,Pauline Socha,teamneunzehn-Gruppe
"Groß-Enzersdorfer Straße 66-72, 1220 Wien",PROVISIONSFREIE MIETWOHNUNGEN,2 – 4,"56,91 – 101,05 m²","from 786,41 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/628cbd9247860eb4631a8b5b,Nina Bruckmann,Arwag Immobilientreuhand GmbH
"Donau-City-Straße, 1220 Wien",District Living: All-inclusive Miete in Wien,1 – 2,"15,8 – 47,38 m²",from 689 €,"DEVELOPER_LISTING,TERRACE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/61c9e6658c923d002065fe77,Felix Reitberger,DC3 PropCo GmbH & Co. KG c/o TPA Steuerberatung GmbH
"Leopoldauer Straße 70-72, 1210 Wien",SOMMERAKTION! — 1 Monat Mietfrei! – NUR FÜR KURZE ZEIT! NEUBAU! ERSTBEZUG! Hier finden Sie Ihren WOHNTRAUM mit hochwertiger Ausstattung! - JETZT ZUSCHLAGEN,1 – 3,"39,49 – 85,79 m²","from 719,14 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62f5083084c406f2f26ba84a,Michele Ancona,teamneunzehn-Gruppe
1110 Wien,Q11 - Leben in Simmering,1 – 2,44 – 59 m²,"from 693,53 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/620fa92826b98f0023dd51cd,Vivienne Spicak,IMV Makler GmbH
"Van-der-Nüll-Gasse 45-49, 1100 Wien",Van der Living – Urban &amp; günstig in hochwertiger Ausstattung mit optimaler Verkehrsanbindung wohnen – Erstbezug mit Freifläche,1.5 – 4,"39,83 – 117,16 m²",from 649 €,"DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62fc15a6b73dda8d61368bba,Michele Ancona,teamneunzehn-Gruppe
1210 Wien,*FLOH 23 - HOCHWERTIG &amp; ZENTRAL IN FLORIDSDORF* WOHNEN!* U6* SCHNELLBAHN* DONAUINSEL* BEZUGSFERTIG MIT SCHÖNEN TERRASSEN &amp; BALKONEN,2 – 3,"46,92 – 104,08 m²","from 759,99 €","DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62750088cbc15c512951e4b3,Robert Reithner,"Ing.Robert Posch,  Posch Immobilien"
1210 Wien,"Erstbezug - großzügiger Balkon im ruhigen Innenhof - hauseigene Tiefgarage inkl. Elektroanschluss - moderne Küche, hochwertige Ausstattung u.v.m.!",2,"54,7 m²","799,6 €","BALCONY,PARKING_BASEMENT_GARAGE",http://www.immobilienscout24.at/expose/6315a53698bf68472532fb67,Sebastian Scheuermann,Alexander Ringsmuth GmbH
"Wehlistraße 291, 1020 Wien","Marinatower: U2 Donaumarina, 2 Zi mit Balkon mit Ausblick auf Donau, Gym, Sauna, Shops im Tower(VIE227)",2,45 m²,1.950 €,"BALCONY,FURNISHED_FULL",http://www.immobilienscout24.at/expose/630398c53496e84e2ac20b7a,Burcu Cicek,Blueground Austria GmbH
1170 Wien,BALKONTRAUM | PERFEKTE 3 ZIMMER | DORNBACHER STRASSE,3,58 m²,885 €,BALCONY,http://www.immobilienscout24.at/expose/62dc39e569804427d28b6b4b,Martin Langstadlinger,Immosan Immobilien GesmbH
"Stoß im Himmel 3, 1010 Wien",Prachtvolle 3 Zimmer in historischem Gebäude - mit japanischer Wandmalerei - 1 min zum Stephansdom!(VIE164),3,98 m²,2.850 €,"FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/630cf341b51aed53870ab4a8,Burcu Cicek,Blueground Austria GmbH
1010 Wien,Elegante Wohnung im 1. Bezirk gegenüber Palais Coburg zu Vermieten!,3,132 m²,3.990 €,,http://www.immobilienscout24.at/expose/62d6cd29c8bdb2038c7f16f7,Evgeny Pilnikov,Luxury Immobilien GmbH
"Dannebergplatz, 1030 Wien",Terrassenwohnung mit Grünblick nähe Dannebergplatz,3,"106,93 m²","2.251,29 €","TERRACE,PARKING_GENERIC",http://www.immobilienscout24.at/expose/6319ad27304d5ad2f5ae8ca1,Sophie Weilguni,COLLIERS INTERNATIONAL Immobilienmakler GmbH
1210 Wien,RAUS ins GRÜNE: LEOPOLD XXI – Erstklassige Mietwohnungen in beliebter Lage des 21. Bezirks,2,"40,78 m²","896,31 €","NEW,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/62cd62268cd409c5f605ac5e,Nina Milchrahm,COLLIERS INTERNATIONAL Immobilienmakler GmbH
1150 Wien,2 Monate Mietfrei - Stilvolle Maisonettewohnung - Erstbezug,3,"98,84 m²","1.422,79 €",REMOTE_VIEWING_AVAILABLE,http://www.immobilienscout24.at/expose/62723e49f5c7bfa92445f8c6,Nicolas Büttner,Moritz Immobilientreuhand GmbH
1220 Wien,Breitenlee - Lindenhof - Erstbezug! 42 freifinanzierte Mietwohnungen - in den Größen von ca. 39m² bis ca. 90m².,2,"38,96 m²","772,88 €","GARDEN,TERRACE",http://www.immobilienscout24.at/expose/62fb6a4dc978661a4a88bc4f,Marcus Liftl,LIFTL Immobilien GmbH
1190 Wien,Schmuckstück mit 29qm Sonnenterrasse!,2,"65,4 m²",990 €,"TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/63109e6d428534d16c2126c1,Angelika SELIGMANN,LIND Immobilien GmbH
" Karl-Popper-Straße 5, 1100 Wien","Neubau 2Zi Wohnung mit Freifläche, Rooftop, Fitnessraum, Lounge, unmittelbare Nähe zum Hauptbahhof (VIE161)",2,43 m²,1.350 €,"BALCONY,TERRACE,FURNISHED_FULL",http://www.immobilienscout24.at/expose/630c78ee2c839701218bf953,Burcu Cicek,Blueground Austria GmbH
"Kleingasse  20, 1030 Wien","Traumhafte Altbauwohnung wenige Schritte von der Ubahn U3, mit bester öffentlicher-PKW-Anbindung(VIE60)",2,49 m²,1.460 €,"FURNISHED_FULL,OLDBUILDING",http://www.immobilienscout24.at/expose/630ceb812c83970121ab8d38,Burcu Cicek,Blueground Austria GmbH
1200 Wien,ERSTBEZUG | Hochwertige Wohnungen mit Freifläche zu mieten!,3,"61,23 m²",979 €,"BALCONY,TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/630650e7a96b146c742c9da8,"David Schober, MSc",EDEX Immobilien GmbH
1140 Wien,Leben am Park - Exklusive Erstbezugswohnungen bei U3,2,"43,33 m²",760 €,"BALCONY,REMOTE_VIEWING_AVAILABLE,PARKING_GARAGE",http://www.immobilienscout24.at/expose/630f22efa48eb34ec70d584c,Manuel Hacker,Manuel Hacker Realconsult GmbH
1230 Wien,2 Monate Mietfrei - Tolle DG-Wohnung mit Terrasse in ruhiger Grünlage!,3,"146,61 m²","2.180,83 €","BALCONY,TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/624350acb5257dedb276c49b,Nicolas Büttner,Moritz Immobilientreuhand GmbH
1210 Wien,RAUS ins GRÜNE: LEOPOLD XXI – Erstklassige Mietwohnungen in beliebter Lage des 21. Bezirks,2,"50,13 m²","969,32 €","NEW,TERRACE",http://www.immobilienscout24.at/expose/62cd6226b18d62834f5f5273,Sophie Weilguni,COLLIERS INTERNATIONAL Immobilienmakler GmbH
1220 Wien,Penthouse Feeling - Wohnpark Alte Donau!,2,65 m²,1.250 €,"REMOTE_VIEWING_AVAILABLE,FURNISHED_PART",http://www.immobilienscout24.at/expose/630b3ff44351c4630fafc559,Paul KLEINDL,LIND Immobilien GmbH
1230 Wien,2 Monate Mietfrei - Traumhafte und geräumige Familienwohnung mit schönem Garten in toller Lage zu vermieten!,6,"246,47 m²","2.687,31 €","GARDEN,TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/624ac6a32150009430a1d08d,Nicolas Büttner,Moritz Immobilientreuhand GmbH
"Buchengasse, 1100 Wien",Die Buche,1 – 3,"38,6 – 62,5 m²",from 670 €,"DEVELOPER_LISTING,BALCONY,TERRACE,REMOTE_VIEWING_AVAILABLE",http://www.immobilienscout24.at/expose/61e6c439d4e7f0002268bde5,Kathrin Rieser,private
"Bertha-von-Suttner-Gasse 10, 1220 Wien","Bertha-von-Suttner-Gasse 10, 1220 Wien / K2+K3",2 – 3,"40,36 – 63,41 m²","from 704,23 €","DEVELOPER_LISTING,GARDEN,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/6305fafaf10f9119e13e6448,Haring Immobilien Treuhand GmbH (Vermietung),private
1220 Wien,Vollmöblierte Apartments mit All-In Miete Nähe U2 Donaustadtbrücke,1 – 3,"18,1 – 54,5 m²",from 499 €,"DEVELOPER_LISTING,BALCONY,TERRACE",http://www.immobilienscout24.at/expose/619cb1e9ab4eb600248c612e,DOHO Donauhomes,private
